time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1773516163707,download,100000,111.39999999850988,2471965.496040462,324.59999999403954,-1,100300,127.80000000447035
1773516166333,download,100000,115.10000000149012,3802843.6018957347,211,-1,100300,92.79999999701977
1773516166483,download,100000,110.89999999850988,5776817.854633608,138.89999999850988,-1,100300,89
1773516166619,download,100000,105.10000000149012,6408945.686748401,125.20000000298023,-1,100300,
1773516166749,download,100000,97.39999999850988,6748528.175021498,118.89999999850988,-1,100300,100.89999999850988
1773516166884,download,100000,103.19999999552965,6429487.179640716,124.79999999701977,-1,100300,103.70000000298023
1773516167058,download,100000,144.5,4956145.768810742,161.90000000596046,-1,100300,
1773516167198,download,100000,114.79999999701977,6234654.234870793,128.69999999552965,-1,100300,99.39999999850988
1773516167348,download,100000,122.5,5743736.578259716,139.70000000298023,-1,100300,128.39999999850988
1773516167481,download,100000,104.39999999850988,6555555.555635364,122.39999999850988,-1,100300,
1773516167744,download,1000000,111.30000000447035,31680126.682315093,252.60000000149012,-1,1000300,100.20000000298023
1773516167936,download,1000000,107.5,44310077.51901425,180.60000000149012,-1,1000300,104.5
1773516168109,download,1000000,102,49428042.00169027,161.89999999850988,-1,1000300,109.10000000149012
1773516168300,download,1000000,110.60000000149012,44482490.27274199,179.89999999850988,-1,1000300,
1773516168681,download,1000000,113.79999999701977,21610586.01151608,370.29999999701977,-1,1000300,113.29999999701977 94
1773516168867,download,1000000,107.5,45859025.78796562,174.5,-1,1000300,190.5
1773516169032,download,1000000,92.29999999701977,51896238.652606964,154.19999999552965,-1,1000300,
1773516169214,download,1000000,105.10000000149012,47183962.26373638,169.60000000149012,-1,1000300,114.69999999552965
1773516169427,upload,100000,201.10000000149012,3808621.506368188,211.10000000149012,-1,376,89.89999999850988
1773516169558,upload,100000,119,6232558.139534882,129,-1,376,
1773516169684,upload,100000,113.60000000149012,6504854.368853616,123.60000000149012,-1,380,118.60000000149012
1773516169774,upload,100000,77.60000000149012,9178082.191624697,87.60000000149012,-1,376,
1773516169860,upload,100000,74.60000000149012,9503546.099123387,84.60000000149012,-1,382,103.60000000149012
1773516169947,upload,100000,74.89999999850988,9469964.664477164,84.89999999850988,-1,374,
1773516170034,upload,100000,75.79999999701977,9370629.370954854,85.79999999701977,-1,376,101.89999999850988
1773516170121,upload,100000,75.39999999850988,9414519.906487454,85.39999999850988,-1,376,
1773516172749,upload,1000000,408.29999999701977,19220655.032410424,418.29999999701977,-1,374,107.10000000149012 110.29999999701977
1773516172999,upload,1000000,236,32682926.829268288,246,-1,381,100.79999999701977
1773516173498,upload,1000000,484.5,16258847.320525782,494.5,-1,381,208.40000000596046
1773516173923,upload,1000000,411.6000000014901,19070208.728585348,421.6000000014901,-1,381,196.70000000298023 182.5
1773516174248,upload,1000000,312,24968944.09937888,322,-1,381,
1773516174568,upload,1000000,306.3999999985099,25410872.313646853,316.3999999985099,-1,376,
1773516177103,download,10000000,137.10000000149012,31709235.037653584,2523,-1,10000300,110.10000000149012 84.80000000447035 93.5
1773516178167,download,10000000,102,76084070.37565382,1051.5,-1,10000300,125.10000000149012
1773516178961,download,10000000,100.90000000596046,102383414.38365722,781.4000000059605,-1,10000300,107 95.79999999701977 120.29999999701977 142.70000000298023
1773516179696,download,10000000,115.29999999701977,110852708.88134909,721.7000000029802,-1,10000300,106.20000000298023 145.39999999850988 132.5
1773516180548,download,10000000,175,95297677.18880285,839.5,-1,10000300,103.69999999552965 158.80000000447035 119
1773516181456,download,10000000,104.70000000298023,89468127.93528669,894.2000000029802,-1,10000300,106.29999999701977 127.79999999701977 123.79999999701977 98.20000000298023 83.5
1773516182610,upload,10000000,1128.3999999985099,70625439.21302286,1138.3999999985099,-1,375,110.59999999403954 108.90000000596046 99.10000000149012 98.39999999850988 102.79999999701977
